Month,Year,Robusta_Kiboko_Price,FAQ_Price,Arabica_Parchment_Price,Drugar_Price,Rainfall,Temperature,Average_Relative_Humidity,Exchange_Rate,Average-Export-Price,Export_Price_Robusta,Export_Price_Arabica,Total_Export_Volume,Export_Value,Robusta_Export_Volume,Robusta_Export_Value,Arabica_Export_Volume,Arabica_Export_Value,ICO_Composite_Price,Top_Importing_Country,Top_Exporter_in_Uganda
May,2014,1350,3700,6300,,175.9867,23.6,58.37,2532.38585285101,1.88,1.74,2.36,262604,32.83,228333,2380167,63333,9025000,163.94,EU,Ugacof (U) Ltd
June,2014,1600,3900,6050,,112.0789,23.0,42.86,2580.86227148587,1.88,1.74,2.36,333943,32.83,228333,2380167,63333,9025000,151.92,EU,Ugacof (U) Ltd
July,2014,2150,4250,6150,,44.22921,22.5,34.10,2633.51535669946,1.88,1.74,2.36,314304,32.83,228333,2380167,63333,9025000,152.50,EU,Ugacof (U) Ltd
August,2014,2100,4200,6000,,115.0893,23.4,31.59,2612.5,1.88,1.74,2.36,268033,32.83,228333,2380167,63333,9025000,163.08,EU,Ugacof (U) Ltd
September,2014,2350,4450,6150,,201.664,23.5,39.42,2618.79615030458,1.88,1.74,2.36,207923,32.83,228333,2380167,63333,9025000,161.79,EU,Ugacof (U) Ltd
October,2014,2350,4550,7400,,230.7307,23.6,56.98,2680.50866141967,1.88,1.74,2.36,229442,32.83,228333,2380167,63333,9025000,172.88,EU,Ugacof (U) Ltd
November,2014,2150,4250,6750,,219.2434,23.9,58.93,2734.22225,1.88,1.74,2.36,219948,32.83,228333,2380167,63333,9025000,162.17,EU,Ugacof (U) Ltd
December,2014,2100,4200,6250,,88.11836,24.7,54.51,2768.79479918052,1.88,1.74,2.36,224803,32.83,228333,2380167,63333,9025000,150.66,EU,Ugacof (U) Ltd
January,2015,2100,4150,6050,,7.503283,24.3,54.09,2860.71175,1.60,1.48,1.99,334727,34.21,210833,2324250,59167,10323333,148.24,EU,Ugacof (U) Ltd
February,2015,2100,4000,5750,,49.14911,25.0,46.38,2868.8475,1.54,1.43,1.87,271941,34.21,210833,2324250,59167,10323333,141.10,EU,Ugacof (U) Ltd
March,2015,1900,3900,5750,,156.372,24.7,52.43,2951.73681255155,1.55,1.37,1.91,247798,34.21,210833,2324250,59167,10323333,127.04,EU,Ugacof (U) Ltd
April,2015,2100,4150,6250,,224.53,24.7,66.65,2995.578,1.59,1.44,1.89,326793,34.21,210833,2324250,59167,10323333,129.02,EU,Ugacof (U) Ltd
May,2015,2200,4320,5600,,124.4446,23.5,49.73,3007.603,1.61,1.49,1.93,285945,34.21,210833,2324250,59167,10323333,123.49,EU,Ugacof (U) Ltd
June,2015,2250,4500,5750,,124.5141,22.6,38.99,3199.90275,1.66,1.54,2.05,265650,34.21,210833,2324250,59167,10323333,124.97,EU,Ugacof (U) Ltd
July,2015,2200,4350,5850,,48.63834,22.5,31.77,3360.09409090909,1.78,1.67,2.47,402721,34.21,210833,2324250,59167,10323333,119.77,EU,Ugacof (U) Ltd
August,2015,2200,4500,6250,,76.77208,22.9,29.48,3548.25119047619,1.69,1.63,2.23,320247,34.21,210833,2324250,59167,10323333,121.21,EU,Ugacof (U) Ltd
September,2015,2150,4250,5750,,78.8049,23.1,36.17,3667.50476190476,1.71,1.62,2.07,286322,34.21,210833,2324250,59167,10323333,113.14,EU,Ugacof (U) Ltd
October,2015,2350,4500,5600,5600,232.8052,23.7,45.11,3636.02452380952,1.71,1.61,1.86,223858,34.21,148938,14366648,74920,8566678,118.43,EU,Ugacof (U) Ltd
November,2015,2350,4400,5250,4659,334.6217,23.7,57.07,3428.99809523809,1.68,1.57,1.86,248921,34.21,157358,14810825,91563,10191405,115.03,EU,Ugacof (U) Ltd
December,2015,2150,4350,5200,4500,177.9175,24.2,51.65,3362.49256916996,1.62,1.52,1.97,342429,34.21,263214,24234767,79215,8349986,114.63,EU,Ugacof (U) Ltd
January,2016,2370,4880,6000,,94.49416,24.9,41.20,3451.20894736842,2.02,1.86,2.50,404673,29.29,225000,2077083,71667,8524167,110.89,EU,Kyagalanyi Coffee Ltd
February,2016,2370,4880,6000,,70.14979,24.5,52.71,3435.11396135266,2.03,1.91,2.40,396523,29.29,225000,2077083,71667,8524167,111.75,EU,Kyagalanyi Coffee Ltd
March,2016,2370,4880,6000,,100.7639,24.7,56.01,3365.49689130435,2.05,1.93,2.48,409916,29.29,225000,2077083,71667,8524167,117.83,EU,Kyagalanyi Coffee Ltd
April,2016,2370,4880,6000,,308.5189,24.6,60.96,3343.57207729469,2.01,1.92,2.28,325566,29.29,225000,2077083,71667,8524167,117.93,EU,Kyagalanyi Coffee Ltd
May,2016,2370,4880,6000,,143.4434,23.9,55.09,3348.91925465838,1.93,1.84,2.27,408565,29.29,225000,2077083,71667,8524167,119.91,EU,Kyagalanyi Coffee Ltd
June,2016,2370,4880,6000,,39.95881,22.8,38.94,3367.992602657,1.92,2.29,1.84,430565,29.29,225000,2077083,71667,8524167,127.05,EU,Kyagalanyi Coffee Ltd
July,2016,2300,4850,5150,,70.89701,22.5,32.36,3379.29338888889,1.68,1.59,2.07,268150,29.29,225000,2077083,71667,8524167,132.98,EU,Kyagalanyi Coffee Ltd
August,2016,2200,4550,5550,,87.12994,22.2,36.05,3373.535,1.72,1.68,1.98,291059,29.29,225000,2077083,71667,8524167,131.00,EU,Kyagalanyi Coffee Ltd
September,2016,2200,4550,5550,,118.108,22.8,42.07,3381.40619047619,1.82,1.7,2.09,208956,29.29,225000,2077083,71667,8524167,138.22,EU,Kyagalanyi Coffee Ltd
October,2016,2300,4800,5800,,52.45906,22.5,50.19,3435.84835978836,1.93,1.75,2.21,209144,29.29,225000,2077083,71667,8524167,142.68,EU,Kyagalanyi Coffee Ltd
November,2016,2250,4650,5850,,204.7381,22.7,56.25,3560.62343434344,2.06,1.89,2.42,407693,29.29,225000,2077083,71667,8524167,145.82,EU,Kyagalanyi Coffee Ltd
December,2016,2600,4850,6550,,56.26269,22.3,52.04,3598.16597883598,2.02,1.83,2.50,425241,29.29,225000,2077083,71667,8524167,131.70,EU,Kyagalanyi Coffee Ltd
January,2017,2600,5250,6550,,18.66439,23.6,51.60,3609.4773015873,1.95,1.83,2.35,404673,40.82,304787,33973480,99886,15008470,139.07,Italy,Ugacof (U) Ltd
February,2017,2650,5150,6550,,147.2915,24.6,48.23,3585.34954678363,1.95,1.83,2.35,396523,40.82,301116,34545200,95407,13761010,137.68,Italy,Ugacof (U) Ltd
March,2017,2500,5050,6150,,154.1375,24.1,55.75,3599.01411363636,1.95,1.83,2.35,409916,40.82,316314,36539693,93602,13903721,134.07,Italy,Ugacof (U) Ltd
April,2017,2400,5050,6150,,165.9251,23.3,64.28,3618.69722222222,1.95,1.83,2.35,326232,40.82,243167,28001340,83065,11361248,130.39,Italy,Ugacof (U) Ltd
May,2017,2300,4900,6150,,103.7012,22.5,56.10,3623.60659090909,1.95,1.83,2.35,408454,47.47,324640,36132372,83814,11439266,125.40,Italy,Ugacof (U) Ltd
June,2017,2100,5000,6100,,36.57524,22.6,40.76,3591.09857142857,1.95,1.83,2.35,348828,40.82,265833,29109167,83333,8524167,122.39,Italy,Ugacof (U) Ltd
July,2017,2370,4880,6000,,107.7764,21.7,36.66,3601.5305,1.95,1.83,2.35,348828,40.82,265833,29109167,83333,8524167,127.26,Italy,Ugacof (U) Ltd
August,2017,2370,4880,6000,,80.17997,22.2,41.34,3606.03173913043,1.95,1.83,2.35,348828,40.82,265833,29109167,83333,8524167,128.24,Italy,Ugacof (U) Ltd
September,2017,2370,4880,6000,,148.9439,22.7,41.45,3599.866,1.95,1.83,2.35,348828,40.82,265833,29109167,83333,8524167,124.46,Italy,Ugacof (U) Ltd
October,2017,2370,4880,6000,,107.563,23.2,52.17,3637.90952380952,1.95,1.83,2.35,348828,40.82,265833,29109167,83333,8524167,120.01,Italy,Ugacof (U) Ltd
November,2017,2370,4880,6000,,261.2267,23.0,56.71,3638.85080808081,1.95,1.83,2.35,348828,40.82,265833,29109167,83333,8524167,117.26,Italy,Ugacof (U) Ltd
December,2017,2370,4880,6000,,38.03057,22.3,56.84,3623.26157894737,1.95,1.83,2.35,348828,40.82,265833,29109167,83333,8524167,114.00,Italy,Ugacof (U) Ltd
January,2018,2100,4750,5700,,41.36493,24.7,48.13,3640.05304232804,1.84,1.75,2.13,392500,41.00,281667,29583333,90000,11500000,115.60,Italy,Kyagalanyi Coffee Ltd
February,2018,2100,4750,5700,,126.9756,24.2,48.69,3637.56260233918,1.84,1.75,2.13,392500,41.00,281667,29583333,90000,11500000,114.19,Italy,Kyagalanyi Coffee Ltd
March,2018,2100,4750,5700,,241.3745,24.3,49.57,3660.11786111111,1.84,1.75,2.13,392500,41.00,281667,29583333,90000,11500000,112.99,Italy,Kyagalanyi Coffee Ltd
April,2018,2100,4750,5700,,234.0699,23.8,56.77,3697.2425,1.84,1.75,2.13,392500,41.00,281667,29583333,90000,11500000,112.56,Italy,Kyagalanyi Coffee Ltd
May,2018,2100,4750,5700,6500,102.1936,22.9,61.77,3726.84303030303,1.84,1.75,2.13,392500,41.00,281667,29583333,90000,11500000,113.34,Italy,Kyagalanyi Coffee Ltd
June,2018,2100,4750,5700,,78.61504,21.9,45.09,3840.47675,1.84,1.75,2.13,392500,41.00,281667,29583333,90000,11500000,110.44,Italy,Kyagalanyi Coffee Ltd
July,2018,2100,4750,5700,,41.81772,21.9,35.90,3760.44343915344,1.84,1.75,2.13,392500,41.00,281667,29583333,90000,11500000,107.20,Italy,Kyagalanyi Coffee Ltd
August,2018,2100,4750,5700,,116.2978,22.1,35.36,3729.5325,1.84,1.75,2.13,392500,41.00,281667,29583333,90000,11500000,102.41,Italy,Kyagalanyi Coffee Ltd
September,2018,2100,4750,5700,,56.51821,22.6,43.18,3800.67941666667,1.84,1.75,2.13,392500,41.00,281667,29583333,90000,11500000,98.17,Italy,Kyagalanyi Coffee Ltd
October,2018,2100,4750,5700,,139.0651,23.1,60.08,3777.97772727273,1.84,1.75,2.13,392500,41.00,281667,29583333,90000,11500000,111.21,Italy,Kyagalanyi Coffee Ltd
November,2018,2100,4750,5700,,171.72,23.6,56.50,3739.77228535354,1.84,1.75,2.13,392500,41.00,281667,29583333,90000,11500000,109.59,Italy,Kyagalanyi Coffee Ltd
December,2018,2100,4750,5700,,174.6964,22.8,59.25,3714.12678362573,1.84,1.75,2.13,392500,41.00,281667,29583333,90000,11500000,100.61,Italy,Kyagalanyi Coffee Ltd
January,2019,2073,4221,5220,5257,78.40453,23.7,64.91,3702.43409090909,1.66,1.57,1.97,469663,34.58,376874,34286315,92789,13687806,101.56,Italy,Kyagalanyi Coffee Ltd
February,2019,2057,4187,5179,5216,126.5272,24.3,54.69,3672.894,1.66,1.57,1.97,473328,34.58,388980,34659016,84348,12098287,100.67,Italy,Kyagalanyi Coffee Ltd
March,2019,2075,4225,5225,5263,78.39532,24.3,56.39,3706.1915,1.66,1.57,1.97,480961,34.58,389378,33359865,91583,12780599,97.50,Italy,Kyagalanyi Coffee Ltd
April,2019,2093,4260,5269,5307,189.782,22.8,63.11,3736.97575,1.66,1.57,1.97,360293,34.58,262996,22577360,97297,14366692,94.42,Italy,Kyagalanyi Coffee Ltd
May,2019,2109,4293,5310,5347,238.0616,22.9,53.41,3765.62933080808,1.66,1.57,1.97,437597,34.58,340830,29540835,96767,12938575,93.33,Italy,Kyagalanyi Coffee Ltd
June,2019,2088,4251,5258,5295,133.472,22.9,43.65,3728.98830246914,1.66,1.57,1.97,420563,34.58,345008,29119423,75555,10820246,99.97,Italy,Kyagalanyi Coffee Ltd
July,2019,2070,4214,5212,5249,97.33581,22.5,36.93,3696.48695652174,1.66,1.57,1.97,463709,34.58,386584,35338116,77125,8627139,103.01,Italy,Kyagalanyi Coffee Ltd
August,2019,2068,4211,5208,5245,127.6046,22.4,34.25,3693.73386363636,1.66,1.57,1.97,488864,34.58,414940,38089869,73924,8224189,96.07,Italy,Kyagalanyi Coffee Ltd
September,2019,2058,4190,5182,5219,106.8347,22.3,38.48,3675.49642857143,1.66,1.57,1.97,362219,34.58,310863,28956041,51356,5703018,97.74,Italy,Kyagalanyi Coffee Ltd
October,2019,2058,4213,5211,5248,308.0876,22.8,51.21,3695.83636363636,1.66,1.57,1.97,378931,34.58,303430,28119329,75501,5703018,97.35,Italy,Kyagalanyi Coffee Ltd
November,2019,2070,4215,5213,5250,264.9798,23.1,59.21,3697.44285714286,1.66,1.57,1.97,439505,34.58,336366,30420946,103139,11845098,107.23,Italy,Kyagalanyi Coffee Ltd
December,2019,2059,4191,5184,5220,288.3552,22.8,52.26,3676.7295,1.66,1.57,1.97,330248,34.58,280603,24990250,49645,6877841,117.37,Italy,Kyagalanyi Coffee Ltd
January,2020,2150,4300,5500,5200,97.86871,23.1,55.55,3680.79272727273,1.71,1.52,2.46,469951,48.19,377182,34505452,92769,13680875,106.89,Italy,Kyagalanyi Coffee Ltd
February,2020,2150,4000,5750,5200,194.4061,23.9,52.42,3676.8465,1.65,1.49,2.39,472994,46.73,388646,34631182,84348,12098287,102.00,Italy,Kyagalanyi Coffee Ltd
March,2020,2000,4000,5400,5000,354.7615,23.8,54.48,3772.9075,1.60,1.43,2.33,477561,45.87,385978,33085755,91583,12780705,109.05,Italy,Kyagalanyi Coffee Ltd
April,2020,1900,3900,5400,5000,207.8,23.1,63.04,3785.74641666667,1.71,1.43,2.46,359973,36.93,262676,22547121,97297,14381211,108.91,Italy,Kyagalanyi Coffee Ltd
May,2020,1900,4000,4750,4250,120.8302,22.7,58.44,3791.46,1.62,1.44,2.23,437579,42.48,340830,29540631,96767,12938575,104.45,Italy,Kyagalanyi Coffee Ltd
June,2020,1850,3850,4500,4230,54.10262,22.6,42.43,3737.9445,1.53,1.41,2.38,420373,39.99,344430,29853085,75935,10153159,99.05,Italy,Kyagalanyi Coffee Ltd
July,2020,1900,3900,4900,4250,71.23054,22.0,35.62,3703.53704545455,1.53,1.43,2.19,543251,49.78,467160,39992533,76091,9984806,103.66,Italy,Kyagalanyi Coffee Ltd
August,2020,2100,4100,4900,4250,94.72482,22.4,36.45,3677.52761904762,1.48,1.39,2.13,519683,46.06,457897,38158356,61786,7901763,114.78,Italy,Kyagalanyi Coffee Ltd
September,2020,2100,4100,4900,4250,142.8168,23.0,43.74,3695.08727272727,1.47,1.39,2.02,506470,44.64,445461,37246525,61009,7388927,116.25,Italy,Kyagalanyi Coffee Ltd
October,2020,2000,4000,5400,5000,142.0168,23.9,48.42,3719.91692857143,1.47,1.39,2.24,428015,38.61,371280,30966600,56735,7640268,105.85,Italy,Olam Uganda Ltd
November,2020,2000,3900,5250,5000,335.7159,23.1,49.60,3710.67738095238,1.48,1.37,2.22,430324,38.29,372211,30548107,58113,7738494,109.70,Italy,Ugacof (U) Ltd
December,2020,2000,4000,5300,5250,121.2109,23.4,59.13,3666.54318181818,1.49,1.37,2.42,422922,37.78,375209,30866603,47713,6918061,114.74,Italy,Ugacof (U) Ltd
January,2021,1900,4000,5300,5150,140.67,24.4,48.74,3691.563657289,1.48,1.37,2.42,446560,39.73,398160,32729296,48400,7018981,115.73,Italy,Ugacof (U) Ltd
February,2021,1900,4000,5300,5150,102.3822,24.7,57.90,3667.31578947368,1.5,1.36,2.57,562763,50.55,500685,40955833,62078,9591046,119.35,Italy,Ugacof (U) Ltd
March,2021,2000,4000,5400,5150,152.1133,25.2,55.76,3662.86954545455,1.56,1.38,2.65,572839,53.52,494223,41032411,78616,12491214,119.83,Itally,Ugacof (U) Ltd
April,2021,2250,4300,5700,5250,268.9786,24.3,61.98,3623.302,1.55,1.40,2.50,537538,50.02,464544,39078310,72994,10938391,122.03,Itally,Ugacof (U) Ltd
May,2021,2250,4350,6750,5750,139.5649,23.1,55.44,3552.78657894737,1.59,1.46,2.48,494050,47.16,429374,37523776,64676,9633094,134.78,Itally,Olam Uganda Ltd
June,2021,2250,4350,6650,5750,109.0683,22.7,44.29,3540.35210526316,1.58,1.48,2.62,618388,58.56,565449,50248404,52939,8313857,141.03,Itally,Ugacof (U) Ltd
July,2021,2250,4870,6900,6250,42.39708,22.4,36.24,3552.30571428571,1.66,1.59,2.97,700035,69.93,660458,63886054,39577,7046939,152.24,Italy,Ugacof (U) Ltd
August,2021,2650,5150,8000,7250,78.57159,22.4,40.45,3537.03681818182,1.79,1.71,2.54,700990,75.09,636458,65242963,64532,9851281,160.14,Itally,Ugacof (U) Ltd
September,2021,2650,5150,8250,7250,138.6157,22.4,43.96,3530.63136363636,1.9,1.84,2.63,585576,66.62,543279,59932844,42297,6685233,170.02,Itally,Ugacof (U) Ltd
October,2021,2650,5200,8750,8250,151.3184,23.7,39.03,3579.94238095238,2.1,1.93,3.30,486534,61.43,426148,49469966,60386,11964762,181.57,Itally,Ugacof (U) Ltd
November,2021,2750,5750,10250,9750,123.3238,23.4,59.72,3551.52279545455,2.26,1.96,3.70,524902,71.09,436417,51419295,88485,19669123,195.17,Itally,Ugacof (U) Ltd
December,2021,3100,6350,12000,10500,109.1057,23.3,57.21,3554.99173913044,2.34,2.63,3.95,536889,75.25,452588,55260077,84301,19994349,203.06,Itally,Ugacof (U) Ltd
January,2022,3100,7000,12000,10500,54.36834,23.2,49.74,3528.8335,2.57,2.12,4.20,402212,61.98,315265,40069758,86947,21913631,204.29,Itally,Ideal Quality
February,2022,2950,6750,11500,9500,166.1478,24.1,50.40,3514.50684210526,2.68,2.17,4.51,448957,72.17,351944,45902734,97013,26266003,210.89,Itally,Ugacof (U) Ltd
March,2022,2750,6550,10500,9500,98.3445,24.5,59.47,3589.84227272727,2.82,2.26,4.52,478023,80.99,360229,48941601,117794,32047411,194.78,Itally,Ugacof (U) Ltd
April,2022,2750,6550,10500,9500,227.1627,24.3,64.00,3541.45611111111,2.9,2.26,4.29,407762,70.85,277244,37237212,130518,33610626,198.37,Itally,Kawacom (U) Ltd
May,2022,2600,6450,10500,9500,169.0193,23.3,51.25,3633.0680952381,2.67,2.25,4.09,455166,73.01,350312,47307162,104854,25707381,193.71,Itally,Ugacof (U) Ltd
June,2022,2600,6450,10500,9500,28.8829,22.6,41.02,3747.38075,2.63,2.29,4.41,530365,83.79,444197,60976382,86168,22818322,202.46,Itally,Ugacof (U) Ltd
July,2022,2250,6250,10500,9500,44.15952,22.3,31.08,3791.5919047619,2.41,2.46,4.14,576468,83.52,528235,71530971,48233,11990679,190.82,Itally,Ugacof (U) Ltd
August,2022,2700,7050,11500,10500,122.0666,23.0,30.68,3832.44913043478,2.37,2.20,4.05,501054,71.15,456271,60257882,44783,10894327,200.11,Itally,Ugacof (U) Ltd
September,2022,2700,7050,11500,10500,182.4922,22.6,47.70,3825.32636363636,2.36,2.23,3.80,503695,71.22,464118,62193902,39577,9030929,199.63,Itally,Ugacof (U) Ltd
October,2022,2600,6550,10500,9500,99.93818,23.9,53.10,3822.26761904762,2.45,2.23,3.94,457244,67.10,398592,53248899,58652,13850603,178.54,Itally,Ugacof (U) Ltd
November,2022,2400,6400,9500,8500,279.2714,23.0,67.28,3760.22818181818,2.39,2.07,3.80,447162,64.10,364875,45378404,82287,18760200,156.66,Itally,Ugacof (U) Ltd
December,2022,2450,6150,9500,8500,244.2282,23.0,54.86,3690.85785714286,2.37,2.04,3.62,418829,39.54,331476,40551740,87353,18986350,157.19,Itally,Ugacof (U) Ltd
January,2023,2200,5900,8500,7500,31.28393,23.4,59.03,3693.61047619048,2.27,2.00,3.62,494226,67.35,412282,49567361,81944,1783581,156.95,Itally,Ugacof (U) Ltd
February,2023,2450,6450,9000,8000,64.52383,24.4,53.59,3685.71578947368,2.3,2.00,3.37,478646,66.03,373559,44751116,105087,21274878,174.77,Itally,Kawacom (U) Ltd
March,2023,2500,6750,8850,7750,274.0123,23.2,56.61,3744.515,2.44,2.10,3.47,365613,71.54,365613,46099324,122184,25443744,170.03,Itally,Ugacof (U) Ltd
April,2023,2900,7050,9150,8050,291.8411,22.9,65.75,3745.81941176471,2.68,2.20,3.52,373610,59.99,238636,31495658,134974,38494406,178.57,Itally,Ugacof (U) Ltd
May,2023,3750,7750,7250,8250,93.50117,22.5,50.70,3729.55454545454,2.68,2.32,3.68,453169,73.26,328151,45627901,125018,27631317,175.48,Itally,Ugacof (U) Ltd
June,2023,4250,8250,10500,9750,110.1314,22.1,36.97,3707.788,2.68,2.51,3.75,563832,90.56,489597,73879133,74235,16683221,171.25,Itally,Ugacof (U) Ltd
July,2023,4000,8000,10250,9250,35.16254,22.0,31.32,3661.22952380952,2.27,2.63,3.50,645832,104.99,586871,92589878,58961,12397949,158.88,Itally,Ugacof (U) Ltd
August,2023,4000,8000,10250,9250,43.89989,21.6,30.91,3689.12260869565,2.73,2.69,3.14,743517,121.64,689261,111414543,54256,10222891,154.53,Itally,Ugacof (U) Ltd
September,2023,4000,7900,9250,8250,159.0672,22.6,34.08,3738.02225,2.73,2.73,3.11,577073,94.39,543361,88090937,33712,6294174,153.13,Itally,Ugacof (U) Ltd
October,2023,3900,7650,9250,8250,178.2283,23.6,49.52,3755.62531746032,2.73,2.72,3.36,470080,78.92,410113,66865376,59967,12097008,151.94,Itally,Kyagalanyi Coffee Ltd
November,2023,3750,8000,9500,8500,391.2958,24.2,60.43,3782.02518939394,2.77,2.62,3.36,425526,70.68,338329,53116779,87197,17565685,161.53,Itally,Kyagalanyi Coffee Ltd
December,2023,4050,8750,10250,9250,121.948,24.2,54.27,3780.65740740741,2.74,2.61,3.39,401336,65.94,337026,52843493,64310,13096376,175.73,Itally,Louis Dreyfus Company
January,2024,4250,9750,10500,9750,160.3873,23.8,54.71,3805.03362433863,2.96,2.82,3.71,481586,85.57,403508,68167263,78078,17399152,176.41,Itally,Ugacof (U) Ltd
February,2024,5250,10500,11500,10500,124.60,25.30,53.83,3873.58773611111,3.17,3.07,3.75,434582,82.56,372407,68583029,62175,13981373,176.41,Itally,Olam Uganda Ltd
March,2024,5100,10750,11500,10500,82.0815,25.5,64.07,3895.7797368421,3.27,3.13,3.67,329686,64.74,244975,46011274,84711,18723744,176.41,Itally,Kyagalanyi (U) Ltd
April,2024,5750,12250,12750,11750,237.5418,24.3,64.70,3822.6875,3.62,3.53,3.85,390977,84.80,290037,61489234,100940,23314795,176.41,Itally,Olam Uganda Ltd
May,2024,5400,10500,11500,10500,49.83354,21.6,64.04,3791.40079365079,3.83,3.80,4.05,553529,127.3,437693,107916091,79836,19384753,176.41,Itally,Ugacof (U) Ltd
June,2024,5650,12250,12750,11500,45.41605,22.5,68.36,3747.19011695906,4.06,4.07,3.94,667037,162.36,614486,149949090,52551,12415084,176.41,Itally,Ugacof (U) Ltd
July,2024,5900,12000,12750,11000,123.3344,22.8,62.65,3705.85480676329,4.27,4.27,4.23,821593,210.48,722444,197997569,49149,12481044,176.41,Itally,Ugacof (U) Ltd
August,2024,6250,12500,12750,11500,94.13236,23.0,56.56,3723.64728650138,4.41,4.42,4.30,837915,221.63,785667,208138678,52248,13494978,176.41,Itally,Ugacof (U) Ltd
September,2024,6750,12750,12750,11500,85.91017,23.0,62.16,3711.31308802309,4.53,4.53,4.53,532212,144.71,504576,137195402,27636,7512674,176.41,Itally,Olam Uganda Ltd
October,2024,6500,12500,12500,11500,163.5158,23.1,76.18,3667.92606749311,4.66,4.64,4.96,496820,139.04,457853,127457821,38967,11589391,176.41,Itally,Ugacof (U) Ltd
November,2024,6500,12500,12500,11500,334.4308,23.3,74.96,3678.64754689755,4.53,4.64,4.99,400536,108.91,342982,91662754,57554,17248140,176.41,Itally,Ugacof (U) Ltd
December,2024,6500,12500,12500,11500,90.15173,23.2,64.41,3664.08171212121,4.64,4.55,5.33,413079,114.03,365853,99910582,47226,15115114,176.41,Itally,Ugacof (U) Ltd
January,2025,7000,13000,13250,13000,63.85384,24.5,58.74,3688.95898760331,4.47,4.65,5.40,550341,156.50,485999,135665270,64342,20834040,310.12,Itally,Ugacof (U) Ltd
February,2025,7750,15500,14500,13250,19.85459,23.6,50.24,3677.71232954546,5.03,4.83,5.06,555756,167.78,466691,135316273,89065,32358897,354.32,Itally,Ugacof (U) Ltd
